City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,ust-nera,64.5431,143.115,288.29,55,29,2.6,1720403376,Russia
1,iskateley,67.6514,53.0783,290.42,62,22,3.9,1720403379,Russia
2,plunge,55.8955,21.8015,283.46,87,92,1.29,1720403381,Lithuania
3,port-aux-francais,-49.3649,70.2099,275.45,83,90,13.16,1720403384,France
4,matoury,4.7382,-52.4119,297.92,100,0,0.51,1720403386,France
5,mount isa,-20.889,139.3332,299.7,41,4,2.08,1720403389,Australia
6,nova vicosa,-18.001,-40.0675,292.78,94,24,1.83,1720403391,Brazil
7,cole harbour,44.6338,-63.5052,294.41,93,73,1.74,1720403394,Canada
8,papatowai,-46.5819,169.4508,282.61,74,65,5.96,1720403396,New Zealand
9,puerto natales,-52.8426,-75.7225,278.77,84,100,7.0,1720403399,Chile
10,isla mujeres,21.2015,-86.7528,302.13,86,62,6.26,1720403401,Mexico
11,bredasdorp,-34.5442,20.0221,279.55,76,98,10.86,1720403518,South Africa
12,kuta,-8.7411,115.1601,302.17,79,40,5.66,1720403521,Indonesia
13,las heras,-46.6705,-69.0183,272.16,88,98,3.3,1720403523,Argentina
14,college,31.847,-102.3883,309.06,29,0,4.02,1720403526,United States
15,vilyuchinsk,52.9121,158.39,290.57,79,100,2.24,1720403528,Russia
16,kingston,45.1889,-94.3182,295.1,78,0,0.0,1720403531,United States
17,tura,47.3489,0.6528,285.26,82,0,1.03,1720403534,France
18,codrington,51.4882,-2.4137,284.08,88,2,0.45,1720403536,United Kingdom
19,puerto madryn,-42.8769,-65.2087,275.44,67,7,3.89,1720403539,Argentina
20,utrik,11.2078,169.8274,301.02,80,100,7.63,1720403541,Marshall Islands
21,blackmans bay,-43.0253,147.3001,284.86,96,4,0.89,1720403544,Australia
22,palmer,42.1412,-72.3955,298.97,84,20,0.0,1720403546,United States
23,mae hong son,17.5665,97.3438,299.37,83,88,0.6,1720403548,Thailand
24,haiku-pauwela,20.9293,-156.3208,301.4,60,20,11.83,1720403551,United States
25,malango,0.4859,121.8074,299.78,88,97,1.47,1720403553,Indonesia
26,aasiaat,68.5496,-53.0113,278.18,85,44,3.75,1720403556,Greenland
27,albany,42.6135,-73.8975,297.65,78,0,1.55,1720403558,United States
28,iqaluit,63.7085,-68.6012,280.31,81,75,2.57,1720403561,Canada
29,gagliano del capo,39.7937,18.3433,298.75,65,0,4.12,1720403563,Italy
30,udachny,66.3976,112.2321,295.27,46,100,7.3,1720403566,Russia
31,minas de marcona,-15.2319,-75.1303,284.25,91,97,5.75,1720403568,Peru
32,nar'yan-mar,67.6061,52.9031,290.37,62,52,4.01,1720403571,Russia
33,grytviken,-54.3006,-36.5298,266.59,54,6,1.98,1720403573,South Georgia and the South Sandwich Islands
34,boca do acre,-9.592,-69.212,297.71,68,99,0.54,1720403576,Brazil
35,lata,-10.7642,165.7578,300.81,80,72,7.74,1720403578,Solomon Islands
36,petropavlovsk-kamchatsky,52.885,158.522,291.53,88,100,2.42,1720403581,Russia
37,ushuaia,-54.8587,-68.4597,276.29,87,75,10.29,1720403583,Argentina
38,atafu village,-13.0959,165.1709,299.66,77,86,12.11,1720403586,Not Found
39,adamstown,40.2326,-76.0769,299.63,69,6,0.34,1720403588,United States
40,kataragama,6.3736,81.2924,298.91,65,85,7.18,1720403591,Sri Lanka
41,margate,26.2107,-80.234,304.15,76,0,5.14,1720403593,United States
42,bethel,45.3921,-93.2807,297.13,68,0,0.0,1720403596,United States
43,secunda,-26.6761,29.0428,276.76,61,0,4.5,1720403599,South Africa
44,avarua,-21.2409,-159.964,296.23,78,75,2.06,1720403601,Cook Islands
45,namtsy,62.6864,129.6231,297.82,33,18,1.87,1720403604,Russia
46,jabat,7.7321,168.9551,301.25,79,100,5.22,1720403606,Marshall Islands
47,edinburgh of the seven seas,-37.0876,-12.3308,286.02,78,100,15.75,1720403609,"Saint Helena, Ascension and Tristan da Cunha"
48,hawaiian paradise park,19.565,-154.9931,300.96,65,100,5.66,1720403611,United States
49,mili,37.5336,22.6969,297.41,41,0,2.9,1720403614,Greece
50,ntungamo,-1.056,30.4455,291.67,81,99,1.11,1720403616,Uganda
51,opuwo,-18.0724,13.8236,283.87,31,0,0.31,1720403619,Namibia
52,okhotsk,59.3478,143.1694,286.21,84,100,3.92,1720403621,Russia
53,antsiranana,-12.3511,49.2164,294.9,86,72,2.99,1720403623,Madagascar
54,salekhard,66.509,66.5226,292.67,63,86,1.84,1720403626,Russia
55,qaqortoq,60.5582,-46.1985,276.38,100,100,6.32,1720403628,Greenland
56,badger,42.6085,-94.1588,295.34,73,100,0.89,1720403631,United States
57,ola,35.0212,-93.2417,301.99,66,38,2.64,1720403633,United States
58,chinde,-18.6231,36.4216,290.3,80,0,2.73,1720403636,Mozambique
59,mount pearl,38.9425,-102.8094,286.6,87,100,11.7,1720403638,United States
60,thompson,43.3624,-93.7836,294.1,88,75,4.12,1720403641,United States
61,anadyr,64.7149,177.4558,285.29,87,100,12.0,1720403643,Russia
62,zaozersk,69.3833,32.4158,287.24,85,0,10.32,1720403646,Russia
63,vorgashor,67.5728,63.7763,288.44,75,100,3.53,1720403648,Russia
64,corn island,32.1577,-81.1212,302.21,79,75,2.57,1720403651,United States
65,villa gesell,-37.2957,-57.0079,277.81,53,87,3.36,1720403653,Argentina
66,jiangyou,31.5415,104.5105,296.82,96,100,1.12,1720403656,China
67,kimbe,-5.7163,149.993,299.29,80,100,3.43,1720403658,Papua New Guinea
68,thurso,58.581,-3.5561,282.73,89,100,2.08,1720403661,United Kingdom
69,invercargill,-46.6256,168.1954,283.2,69,49,7.99,1720403664,New Zealand
70,praia da vitoria,38.6752,-27.2787,296.61,92,40,4.02,1720403666,Portugal
71,kapuskasing,49.3553,-82.4775,298.08,56,75,2.57,1720403669,Canada
72,mammoth lakes,37.5801,-119.0614,301.74,23,0,3.89,1720403671,United States
73,waitangi,-35.2905,174.0605,288.66,62,100,2.17,1720403674,New Zealand
74,kodiak,57.7674,-152.4552,286.29,76,20,2.57,1720403676,United States
75,kabalo,-6.0647,26.9104,294.38,38,5,1.04,1720403679,Democratic Republic of the Congo
76,west island,38.0207,-121.7934,308.07,33,0,2.68,1720403681,United States
77,cururupu,-1.9449,-45.0498,295.94,96,2,0.98,1720403684,Brazil
78,qamdo,28.4384,93.5975,280.81,97,100,0.74,1720403686,China
79,san luis de la loma,17.2506,-100.9139,299.97,82,34,4.55,1720403689,Mexico
80,igarka,67.4368,86.4373,290.06,61,3,3.51,1720403691,Russia
81,lubuklinggau,-3.378,102.7677,300.0,74,44,0.81,1720403694,Indonesia
82,georgetown,33.3172,-79.3232,300.35,60,0,2.06,1720403696,United States
83,talnakh,69.4795,88.3544,290.62,41,8,10.1,1720403699,Russia
84,oriximina,-1.9987,-58.8954,300.1,63,92,0.38,1720403701,Brazil
85,al jawf,28.3679,37.0062,300.67,30,0,1.92,1720403704,Saudi Arabia
86,kununurra,-15.9023,128.6546,301.08,39,58,4.63,1720403706,Australia
87,mbanza kongo,-4.683,18.5615,292.54,36,16,1.42,1720403709,Democratic Republic of the Congo
88,inekar,15.9087,3.1173,302.32,52,88,7.32,1720403711,Mali
89,taksimo,56.3234,114.802,299.81,48,12,1.44,1720403714,Russia
90,stanley,42.6398,-91.8196,295.59,87,90,1.34,1720403716,United States
91,leninskoye,54.4613,69.1572,290.55,78,5,4.29,1720403719,Kazakhstan
92,priob'ye,62.5006,65.5764,293.08,56,17,1.76,1720403721,Russia
93,punta arenas,-54.6577,-74.7493,277.43,63,100,6.29,1720403724,Chile
94,kone,-21.1154,164.7644,296.22,53,100,4.95,1720403726,France
95,kyren,51.6663,102.104,300.66,45,65,0.47,1720403729,Russia
96,yellowknife,62.4081,-114.5182,291.34,82,75,0.0,1720403732,Canada
97,whitehorse,35.7905,-107.7688,301.41,9,1,5.91,1720403734,United States
98,katsuura,34.9177,140.1879,299.54,81,100,11.45,1720403737,Japan
99,lebu,-38.447,-73.9609,283.01,76,0,9.32,1720403739,Chile
100,willowmore,-33.3353,23.4483,276.01,85,100,7.73,1720403742,South Africa
101,pindushi,62.8972,34.5511,288.95,96,77,3.55,1720403744,Russia
102,rikaze,27.212,82.0991,300.5,81,74,4.02,1720403747,China
103,sumberpucung,-8.195,112.4317,299.57,65,88,2.17,1720403749,Indonesia
104,ouellah,-11.4103,43.3119,296.37,73,86,5.03,1720403752,Comoros
105,idri,27.4057,13.0091,299.66,25,0,3.92,1720403754,Libya
106,bilibino,68.0374,166.4045,281.64,90,100,0.18,1720403757,Russia
107,st. john's,17.0785,-61.8849,301.66,71,20,3.6,1720403759,Antigua and Barbuda
108,vernon,38.7942,-89.0981,299.18,77,7,2.09,1720403762,United States
109,iquique,-21.439,-70.2109,287.62,85,92,4.11,1720403764,Chile
110,nha trang,12.1429,109.1129,301.61,70,20,1.54,1720403767,Vietnam
111,tazovsky,67.4504,78.6189,286.05,62,0,6.17,1720403769,Russia
112,mendoza,-37.5751,-70.5836,266.87,72,1,0.76,1720403772,Argentina
113,amos,37.9959,-94.6002,298.48,90,99,1.65,1720403774,United States
114,margaret river,-34.0106,114.9937,290.46,67,100,9.42,1720403777,Australia
115,solleftea,62.8561,15.7922,282.77,93,100,3.88,1720403779,Sweden
116,san juan de uraba,8.603,-76.6299,298.95,90,8,0.57,1720403782,Colombia
117,tiksi,71.487,128.6302,289.81,40,0,3.64,1720403784,Russia
118,wuhan,29.972,113.6967,305.38,67,84,8.4,1720403787,China
119,shubarshi,48.5739,57.1695,296.25,65,18,4.81,1720403789,Kazakhstan
120,tadine,-21.5683,167.8623,294.58,70,100,9.1,1720403792,France
121,buncrana,-45.7996,167.2361,275.03,85,8,1.08,1720403794,New Zealand
122,dogonbadan,30.317,50.7539,302.02,21,7,0.0,1720403797,Iran
123,lihue,21.937,-159.4088,301.77,65,0,6.17,1720403799,United States
124,kongsberg,47.8314,-100.8213,291.24,78,45,1.08,1720403802,United States
125,ust'-kut,56.7311,105.5662,299.88,50,0,2.67,1720403804,Russia
126,wailua homesteads,22.0413,-159.414,301.33,67,0,6.17,1720403806,United States
127,belinskiy,52.9412,43.3715,287.59,77,0,3.42,1720403808,Russia
128,taiohae,-8.9657,-140.7235,300.59,76,64,8.2,1720403809,France
129,konarka,19.8648,86.0817,301.58,77,98,2.88,1720403811,India
130,biltine,14.3652,20.7687,303.12,44,100,5.34,1720403813,Chad
131,tocopilla,-22.6369,-70.285,288.3,84,8,2.94,1720403815,Chile
132,castillos,-34.207,-53.8835,278.6,61,79,3.42,1720403817,Uruguay
133,stara tura,48.7534,17.614,291.82,95,67,1.88,1720403818,Slovakia
134,puerto baquerizo moreno,-0.9216,-89.628,295.04,83,72,4.59,1720403820,Ecuador
135,alofi,-19.0901,-169.9497,298.53,53,75,8.75,1720403822,Niue
136,saeby,57.2913,10.4799,283.99,94,91,3.65,1720403823,Denmark
137,bubaque,11.2601,-15.8712,297.2,93,100,5.45,1720403825,Guinea-Bissau
138,bouarfa,32.5155,-1.9772,295.41,36,0,4.93,1720403827,Morocco
139,pisco,-13.7282,-76.2219,290.17,88,75,1.54,1720403829,Peru
140,egilsstadir,65.2521,-14.4195,277.12,93,0,0.51,1720403830,Iceland
141,carnarvon,42.2337,-95.0417,291.03,97,100,3.52,1720403832,United States
142,touros,-5.4657,-35.8319,293.61,96,83,3.48,1720403834,Brazil
143,glace bay,46.1607,-60.0069,292.47,96,75,1.03,1720403835,Canada
144,hayma',4.7036,-74.0489,288.12,72,40,3.09,1720403837,Colombia
145,broken hill,-33.1138,141.0011,288.31,66,99,4.43,1720403839,Australia
146,nova sintra,14.8311,-24.7356,298.3,85,98,3.19,1720403841,Cape Verde
147,olonkinbyen,70.9024,-8.736,276.26,92,100,3.57,1720403842,Norway
148,rawson,47.7995,-103.5608,298.49,61,10,2.81,1720403844,United States
149,khandyga,62.6415,135.5264,295.74,37,37,1.83,1720403846,Russia
150,amble,43.4114,-85.4086,295.65,86,100,2.42,1720403848,United States
151,gadzhiyevo,69.24,33.2906,287.64,84,21,9.02,1720403849,Russia
152,hermanus,-34.4575,19.1961,282.67,66,100,14.43,1720403851,South Africa
153,suntar,62.13,117.6037,299.37,36,47,5.21,1720403853,Russia
154,warrenton,38.6934,-77.8246,301.3,72,0,0.0,1720403854,United States
155,jamestown,46.8774,-98.7587,294.12,73,20,4.12,1720403856,United States
156,port lincoln,-34.7697,135.8106,287.84,68,100,7.29,1720403858,Australia
157,selkirk,36.7039,-89.4748,300.16,76,0,2.08,1720403860,United States
158,labytnangi,66.6274,66.1566,292.41,65,100,1.44,1720403861,Russia
159,tucumcari,35.1356,-103.8075,300.92,42,0,8.75,1720403863,United States
160,puerto ayora,-0.7486,-90.3282,294.74,94,39,0.45,1720403865,Ecuador
161,port elizabeth,39.2934,-75.001,300.07,91,43,0.29,1720403866,United States
162,ambovombe,-20.8181,47.0361,280.88,50,0,1.44,1720403868,Madagascar
163,bahar,36.384,59.5884,295.33,46,0,0.0,1720403870,Iran
164,devinuwara,5.9212,80.594,299.62,82,73,4.79,1720403872,Sri Lanka
165,hobyo,4.9666,47.3507,296.93,68,72,8.99,1720403874,Somalia
166,corpus christi,27.4836,-97.6827,303.18,79,0,5.66,1720403875,United States
167,santa cecilia,42.0399,-3.8258,285.67,61,0,1.74,1720403877,Spain
168,gamba,27.9407,88.1626,270.9,81,98,1.18,1720403879,China
169,constantia,43.1555,-76.0853,295.51,81,0,0.32,1720403880,United States
170,macau,22.0299,113.378,306.72,73,1,3.67,1720403882,China
171,ribeira grande,37.7607,-25.6392,295.01,94,75,4.63,1720403884,Portugal
172,fale old settlement,-73.2096,87.2761,222.67,90,5,6.38,1720403886,Not Found
173,aripuana,-10.92,-60.7053,296.23,54,9,0.69,1720403887,Brazil
174,afaahiti,-17.7837,-149.3522,301.16,80,51,8.0,1720403889,France
175,greenville,34.7665,-82.4349,296.47,96,40,2.57,1720403891,United States
176,muromtsevo,56.3534,75.1964,289.91,68,0,3.87,1720403892,Russia
177,arraial do cabo,-23.0166,-42.283,294.87,82,32,1.92,1720403894,Brazil
178,pionerskiy,61.1821,62.8019,294.51,53,11,1.13,1720403896,Russia
179,conception bay south,47.4329,-53.1269,290.61,99,100,4.26,1720403898,Canada
180,kapa'a,22.0552,-159.339,302.29,65,0,6.17,1720403899,United States
181,ulladulla,-35.3828,150.4357,287.14,87,100,1.09,1720403901,Australia
182,isangel,-19.5811,169.2411,299.21,50,75,6.17,1720403903,Vanuatu
183,marksville,31.0861,-92.089,300.2,96,100,3.4,1720403905,United States
184,ebaye,-42.6798,-24.6358,280.11,59,93,10.84,1720403906,Not Found
185,mount gambier,-37.8526,140.7376,284.75,81,100,4.03,1720403908,Australia
186,holualoa,19.5997,-155.997,297.85,93,83,3.03,1720403910,United States
187,saipan,15.0919,145.6896,305.59,62,20,5.14,1720403911,United States
188,trinity beach,-16.8121,145.6802,300.7,71,20,7.72,1720403913,Australia
189,keetmanshoop,-26.6023,18.1162,279.93,65,68,7.72,1720403915,Namibia
190,eydhafushi,5.0992,73.0658,298.68,89,100,6.1,1720403917,Maldives
191,hanceville,34.0335,-86.7942,300.9,86,100,1.3,1720403918,United States
192,lincheng,37.3471,114.0616,300.11,61,68,2.5,1720403920,China
193,mulifanua,-13.8863,-172.0886,300.15,83,100,1.54,1720403922,Samoa
194,longyearbyen,78.1832,15.6064,274.61,87,75,1.54,1720403923,Norway
195,el nido,33.8456,-118.3815,302.6,79,0,5.66,1720403925,United States
196,fort bragg,39.4189,-123.8055,290.59,88,78,1.22,1720403927,United States
197,uturoa,-16.7667,-151.4865,299.03,79,6,7.14,1720403929,France
198,ilulissat,69.0597,-51.2586,278.85,70,92,2.91,1720403930,Greenland
199,rio de janeiro,-23.0827,-43.7963,295.17,88,75,3.6,1720403932,Brazil
200,chonchi,-42.8838,-74.1959,279.99,84,66,2.73,1720403934,Chile
201,klyuchi,54.6709,61.247,291.56,86,26,2.82,1720403936,Russia
202,xinyuan,43.2726,83.0677,291.74,32,88,1.96,1720403937,China
203,christchurch,-43.6292,172.393,286.3,54,0,2.06,1720403939,New Zealand
204,yorkton,51.1805,-102.5214,295.99,68,100,1.03,1720403941,Canada
205,puerto aysen,-45.5668,-72.8577,271.11,99,100,1.02,1720403942,Chile
206,dalton,46.17,-95.9215,292.88,83,19,1.37,1720403944,United States
207,geraldton,-28.9304,114.4547,290.38,61,100,5.29,1720403946,Australia
208,guane,22.0819,-84.2311,299.41,79,24,3.7,1720403947,Cuba
209,bumba,2.0143,21.6432,294.1,98,100,0.54,1720403949,Democratic Republic of the Congo
210,merizo village,83.9279,-83.932,274.07,91,100,1.3,1720403951,Not Found
211,fort mcmurray,56.6437,-111.5109,301.19,32,0,2.06,1720403953,Canada
212,agat village,-81.3581,144.7419,228.35,77,10,9.52,1720403954,Not Found
213,punta del este,-34.9739,-54.9571,279.82,70,100,4.63,1720403956,Uruguay
214,isafjordur,66.0327,-23.1594,281.81,83,63,2.24,1720403958,Iceland
215,hadibu,12.4772,53.9747,294.34,90,100,6.8,1720403960,Yemen
216,lospalos,-8.6848,126.9264,298.66,81,53,4.77,1720403961,East Timor
217,catumbela,-12.4734,13.503,291.3,90,3,1.5,1720403963,Angola
218,buriti bravo,-6.005,-44.0761,297.54,64,75,1.89,1720403965,Brazil
219,the pas,53.801,-101.2617,297.18,70,100,0.72,1720403966,Canada
220,cold lake,54.3736,-110.333,298.18,47,20,3.6,1720403968,Canada
221,tahe,52.1732,124.542,299.57,27,1,3.48,1720403970,China
222,kampene,-3.6343,26.6283,292.82,74,31,0.58,1720403972,Democratic Republic of the Congo
223,pante makasar,-9.2428,124.3284,302.69,57,10,2.96,1720403973,East Timor
224,viligili,60.6338,-15.2109,284.0,83,100,3.21,1720403975,Not Found
225,souillac,44.8786,1.4107,284.8,88,65,1.22,1720403977,France
226,plettenberg bay,30.858,-91.5123,300.13,89,0,0.0,1720403978,United States
227,del rio,29.3252,-100.9364,311.49,32,0,5.66,1720403980,United States
228,fuvahmulah,-0.3121,73.4101,301.61,74,49,1.87,1720403982,Maldives
229,mahavelona,-17.7189,49.4719,289.12,92,11,1.77,1720403984,Madagascar
230,hamilton,41.1646,-92.9134,295.42,91,52,3.28,1720403986,United States
231,sitka,37.155,-99.6715,298.07,58,0,5.05,1720403987,United States
232,newman,39.7876,-88.0039,296.93,73,1,2.32,1720403989,United States
233,pimenta bueno,-12.261,-61.5758,295.54,53,1,0.82,1720403991,Brazil
234,lorengau,-2.193,147.1189,298.59,93,100,6.04,1720403992,Papua New Guinea
235,naze,5.412,7.0167,296.31,98,100,1.77,1720403994,Nigeria
236,howard springs,38.8382,-122.6947,306.92,17,0,2.91,1720403996,United States
237,portland,45.4325,-122.8367,309.68,28,0,1.79,1720403998,United States
238,tehran,35.5682,51.0892,301.73,38,40,4.12,1720403999,Iran
239,wickenburg,33.9331,-112.8279,314.76,15,0,6.72,1720404001,United States
240,lupane,-19.5036,27.3439,281.16,50,0,0.62,1720404003,Zimbabwe
241,tolanaro,-25.0758,46.9251,289.19,94,20,1.03,1720404005,Madagascar
242,port saint john's,-31.6429,29.5248,289.91,37,0,10.19,1720404006,South Africa
243,reggane,23.9949,-5.6683,309.14,10,34,6.47,1720404008,Algeria
244,bako,39.5312,49.2188,300.21,58,100,1.62,1720404010,Azerbaijan
245,isle of lewis,58.199,-6.408,281.81,93,75,0.0,1720404012,United Kingdom
246,keelung,25.0525,121.6268,305.21,64,42,1.66,1720404013,Taiwan
247,tuy hoa,46.492,126.8007,297.76,48,31,7.07,1720404015,China
248,vila velha,-20.5357,-40.4842,295.7,82,100,2.4,1720404017,Brazil
249,tongchuanshi,35.0547,109.065,294.56,93,100,1.22,1720404019,China
250,male,4.1683,73.4546,300.17,89,100,1.54,1720404020,Maldives
251,douz,33.4171,8.985,301.97,37,68,4.4,1720404025,Tunisia
252,remire-montjoly,4.848,-52.3183,298.13,100,0,0.51,1720404045,France
253,boa vista,2.4288,-61.0005,296.15,98,65,0.51,1720404048,Brazil
254,colonia,50.8304,6.7725,287.36,82,75,0.0,1720404049,Germany
255,colachel,8.1353,77.2119,298.06,89,100,5.53,1720404051,India
256,sinop,41.6638,34.8101,287.53,86,0,1.71,1720404053,Turkey
257,nemuro,42.9183,145.1956,286.54,100,94,5.06,1720404054,Japan
258,kerikeri,-35.2673,173.9091,287.49,65,98,1.69,1720404056,New Zealand
259,dudinka,69.3781,86.1174,290.27,45,6,9.15,1720404058,Russia
260,rethymno,35.2076,24.3136,293.57,60,0,4.67,1720404060,Greece
261,cuito,-12.5431,16.7825,282.45,27,0,0.07,1720404062,Angola
262,qashyr,-22.0737,-103.5928,294.47,72,6,3.74,1720404063,Not Found
263,poronaysk,49.1927,143.0196,286.03,95,100,1.45,1720404065,Russia
264,pudozh,61.792,36.4867,291.07,79,62,3.33,1720404067,Russia
265,nabire,-3.5203,135.3424,302.05,82,0,0.62,1720404068,Indonesia
266,walvis bay,-23.1158,14.3471,283.71,77,0,7.15,1720404070,Namibia
267,jisr ez zarqa,32.53,34.905,298.92,84,34,3.34,1720404072,Israel
268,hassi messaoud,28.4984,2.9965,308.16,10,0,8.22,1720404074,Algeria
269,rio grande,38.866,-82.3924,297.07,82,17,2.37,1720404075,United States
270,savanna-la-mar,18.2086,-78.1432,303.16,85,100,2.15,1720404077,Jamaica
271,tonghae,38.8938,127.9004,297.57,91,100,1.64,1720404079,North Korea
272,happy valley-goose bay,53.261,-60.6022,295.44,53,40,4.12,1720404080,Canada
273,francisco sa,-16.815,-43.7623,290.88,77,0,1.54,1720404082,Brazil
274,chesma,53.7907,60.6305,291.07,87,98,2.91,1720404084,Russia
275,kerouane,13.3947,-7.3319,300.45,66,76,2.76,1720404086,Mali
276,thunder bay,48.283,-89.4276,292.64,73,75,3.09,1720404087,Canada
277,tionk essil,12.7681,-16.5209,296.3,92,100,3.18,1720404089,Senegal
278,maubara,-8.653,125.1662,298.8,61,17,4.16,1720404091,East Timor
279,bel ombre,-4.6414,55.3822,298.84,89,75,5.14,1720404093,Seychelles
280,fort dodge,42.4726,-94.2243,295.35,76,75,4.12,1720404096,United States
281,kuala lipis,4.147,102.0144,299.52,86,75,0.2,1720404097,Malaysia
282,vetluga,57.8416,45.7542,288.22,77,57,1.4,1720404099,Russia
283,krishnarajpet,12.6543,76.485,293.62,90,100,3.34,1720404101,India
284,brandon,42.3101,-92.0118,296.14,85,0,2.57,1720404102,United States
285,dryden,42.3962,-76.4541,295.52,86,0,1.79,1720404104,United States
286,simpang,4.8001,100.6858,299.9,89,97,2.22,1720404106,Malaysia
287,luderitz,-26.69,15.1173,285.25,73,28,4.1,1720404108,Namibia
288,choele choel,-39.3094,-65.6792,276.68,53,0,3.52,1720404110,Argentina
289,khovd,44.9994,90.6678,295.57,41,4,0.53,1720404112,Mongolia
290,saint-francois,37.8364,-90.5387,299.36,69,0,1.54,1720404115,United States
291,pariaman,-0.7,100.0745,299.21,83,53,5.12,1720404117,Indonesia
292,szarvas,46.7732,20.4851,296.05,64,58,1.71,1720404120,Hungary
293,linqiong,30.3899,103.4558,297.06,98,100,3.88,1720404122,China
294,akjoujt,19.5836,-14.5455,299.16,52,73,5.89,1720404125,Mauritania
295,alice springs,-23.7071,133.8743,288.94,82,100,2.57,1720404126,Australia
296,lazaro cardenas,20.205,-97.6131,298.2,90,16,1.03,1720404128,Mexico
297,sinah,5.7839,-9.6668,296.58,89,100,2.17,1720404130,Liberia
298,port augusta,-32.5213,137.7579,288.11,59,41,3.62,1720404132,Australia
